class_name,area_2025_sqkm,area_2035_sqkm,net_change_sqkm,percent_change
Bare land,1741.568455973989,1722.864514330541,-18.70394164344816,-1.0739710850463124
Built-up,1167.8509076325397,1351.2966732891698,183.4457656566301,15.707978172360223
Cropland,2170.105267191418,2016.367521180464,-153.73774601095397,-7.084345093080374
Vegetation,2177.9096845501413,2166.90560654749,-11.004078002651113,-0.5052586928058986
Water,93.8578884485062,93.8578884485062,0.0,0.0
